"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.allele_data_interval","output.individual_data_interval","output.locus_data_interval","output.meta_data_interval","output.output_base_path","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"16","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-2"
"17","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-15-2"
"18","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-05","10000","2","default","20","run-2022-06-15-2"
"19","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-06","10000","2","default","20","run-2022-06-15-2"
"20","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-06","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-2"
"21","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-06","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-15-2"
"22","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-06","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-05","10000","2","default","20","run-2022-06-15-2"
"23","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-06","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-06","10000","2","default","20","run-2022-06-15-2"
"24","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-2"
"25","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-04","10000","2","default","20","run-2022-06-15-2"
"26","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-05","10000","2","default","20","run-2022-06-15-2"
"27","ACDEFGHIKLMNOPQRSTUVWY","500","500","9","75","1","-1","3e-04","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","3e-06","10000","2","default","20","run-2022-06-15-2"
"28","ACDEFGHIKLMNOPQRSTUVWY","100","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-2"
"29","ACDEFGHIKLMNOPQRSTUVWY","150","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-2"
"30","ACDEFGHIKLMNOPQRSTUVWY","200","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-2"
"31","ACDEFGHIKLMNOPQRSTUVWY","250","500","9","75","1","-1","3e-05","10000","2","10","4","20","50","1","1","./output/","2000","10","-1","0.003","10000","2","default","20","run-2022-06-15-2"
