"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.genes_per_chromosome_initial","hosts.initial_fitness","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.initial_fitness","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id"
"64","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","1","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-2"
"65","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-2"
"66","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-2"
"67","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","4","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-2"
"68","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","1","default","20","run-2022-06-16-2"
"69","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-2"
"70","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","3","default","20","run-2022-06-16-2"
"71","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","2","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","4","default","20","run-2022-06-16-2"
"72","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","1","default","20","run-2022-06-16-2"
"73","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-2"
"74","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","3","default","20","run-2022-06-16-2"
"75","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","4","default","20","run-2022-06-16-2"
"76","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","1","default","20","run-2022-06-16-2"
"77","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","2","default","20","run-2022-06-16-2"
"78","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","3","default","20","run-2022-06-16-2"
"79","ACDEFGHIKLMNOPQRSTUVWY","500","200","9","75","1","-1","3e-05","10000","3","10","4","1","50","1","1","./output/","100","500","50","2000","10","-1","0.003","10000","4","default","20","run-2022-06-16-2"
