"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hash_no_sim_mode","id_same_config_different_mode"
"1","2022-07-18-1.2022-07-18-2",0,"coevolution",6.145,1.57419985239872,6,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","1","32","4d29223f64bf8bd1e111ff3d3b55cd13",1
"2","2022-07-18-1.2022-07-18-2",0,"no-coevolution",2.98666666666667,1.1203783445547,3,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","1","32","4d29223f64bf8bd1e111ff3d3b55cd13",1
"3","2022-07-18-3.2022-07-18-4",0,"coevolution",8.87666666666667,1.42413804486794,9,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","1","32","67413b38da6b14b8ad9915966a840415",2
"4","2022-07-18-3.2022-07-18-4",0,"no-coevolution",3.455,1.16055438367292,3,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","1","32","67413b38da6b14b8ad9915966a840415",2
"5","2022-07-18-5.2022-07-18-6",0,"coevolution",6.17666666666667,2.55532222528078,6,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","4","32","02e774dad451a3fbb6a0b8ce8e752a3d",3
"6","2022-07-18-5.2022-07-18-6",0,"no-coevolution",3.55333333333333,1.37731037242599,3,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","4","32","02e774dad451a3fbb6a0b8ce8e752a3d",3
"7","2022-07-18-7.2022-07-18-8",0,"coevolution",11.0416666666667,2.29609464960735,11,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","4","32","f7a8cb582fb46c0529097deac42e5447",4
"8","2022-07-18-7.2022-07-18-8",0,"no-coevolution",3.87333333333333,1.27671671283424,4,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","5e-05","1000","4","32","f7a8cb582fb46c0529097deac42e5447",4
"9","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12",0,"coevolution",4.89111111111111,1.74446759547138,5,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","8","32","be99ba848a93a6425154251a11257165",5
"10","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12",0,"no-coevolution",3.67166666666667,1.10418715397673,4,"01","0","10000","16","1000","0.01","1","0","6.25e-06","1000","1","10","0","1","-1","50","1","1","./output/","500","-1","500","50","0.1","6000","1","0","1e-05","1000","8","32","be99ba848a93a6425154251a11257165",5
