"","pathogens.mutation_rate_per_peptide","pathogens.species_n","simulation_mode","run_id","hash_no_sim_mode","run_id_same_config_different_mode"
"1","1e-05","1","default","2022-07-18-1","4d29223f64bf8bd1e111ff3d3b55cd13","2022-07-18-1.2022-07-18-2"
"2","1e-05","1","no_coevolution","2022-07-18-2","4d29223f64bf8bd1e111ff3d3b55cd13","2022-07-18-1.2022-07-18-2"
"3","5e-05","1","default","2022-07-18-3","67413b38da6b14b8ad9915966a840415","2022-07-18-3.2022-07-18-4"
"4","5e-05","1","no_coevolution","2022-07-18-4","67413b38da6b14b8ad9915966a840415","2022-07-18-3.2022-07-18-4"
"5","1e-05","4","default","2022-07-18-5","02e774dad451a3fbb6a0b8ce8e752a3d","2022-07-18-5.2022-07-18-6"
"6","1e-05","4","no_coevolution","2022-07-18-6","02e774dad451a3fbb6a0b8ce8e752a3d","2022-07-18-5.2022-07-18-6"
"7","5e-05","4","default","2022-07-18-7","f7a8cb582fb46c0529097deac42e5447","2022-07-18-7.2022-07-18-8"
"8","5e-05","4","no_coevolution","2022-07-18-8","f7a8cb582fb46c0529097deac42e5447","2022-07-18-7.2022-07-18-8"
"9","1e-05","8","default","2022-07-18-9","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
"10","1e-05","8","no_coevolution","2022-07-18-10","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
"11","1e-05","8","default","2022-07-18-11","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
"12","1e-05","8","default","2022-07-18-12","be99ba848a93a6425154251a11257165","2022-07-18-9.2022-07-18-10.2022-07-18-11.2022-07-18-12"
