"","run_id_same_config_different_mode","locus_id","derived_sim_mode","allele_count_mean","allele_count_sd","allele_count_median","allele_count_min","allele_count_max","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","thread_n","hash_no_sim_mode","id_same_config_different_mode"
"1","2022-07-17-1.2022-07-17-2",0,"Coevolution",10.7683333333333,1.08164094509796,11,9,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","420bffd5bde7b6fff234cbbe6c133c1e",1
"2","2022-07-17-1.2022-07-17-2",0,"Neutrality",9.65083333333333,0.776370786772887,10,8,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","420bffd5bde7b6fff234cbbe6c133c1e",1
"3","2022-07-17-1.2022-07-17-2",0,"No-coevolution",1.75333333333333,0.599795921516646,2,1,3,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","420bffd5bde7b6fff234cbbe6c133c1e",1
"4","2022-07-17-11.2022-07-17-12",0,"Coevolution",5.74625,2.73068389514843,5,2,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","0f32896e8c71c40ad38ad177c6c0da58",6
"5","2022-07-17-11.2022-07-17-12",0,"Neutrality",9.553125,0.792816929751664,10,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","0f32896e8c71c40ad38ad177c6c0da58",6
"6","2022-07-17-11.2022-07-17-12",0,"No-coevolution",4.68333333333333,1.05838979947154,4,3,9,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","1","32","0f32896e8c71c40ad38ad177c6c0da58",6
"7","2022-07-17-13.2022-07-17-14",0,"Coevolution",12.375,1.78345179127114,12,9,17,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","0633b384da45317b095a9fc2e0cbf4a7",7
"8","2022-07-17-13.2022-07-17-14",0,"Neutrality",9.38,0.773988460580581,9,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","0633b384da45317b095a9fc2e0cbf4a7",7
"9","2022-07-17-13.2022-07-17-14",0,"No-coevolution",2.32,0.486688155359161,2,2,4,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","0633b384da45317b095a9fc2e0cbf4a7",7
"10","2022-07-17-15.2022-07-17-16",0,"Coevolution",6.32041666666667,1.79835963226449,6,2,10,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","486b4feaeb488346ef7e1b600d373e44",8
"11","2022-07-17-15.2022-07-17-16",0,"Neutrality",9.285,0.813016630113949,9,7,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","486b4feaeb488346ef7e1b600d373e44",8
"12","2022-07-17-15.2022-07-17-16",0,"No-coevolution",6.27,0.717505753317829,6,5,8,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","4","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","3e-05","10000","4","32","486b4feaeb488346ef7e1b600d373e44",8
"13","2022-07-17-17.2022-07-17-18",0,"Coevolution",11.0233333333333,1.26970172074192,12,9,13,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","35b627a7940f0d55320690727cfa4c3f",9
"14","2022-07-17-17.2022-07-17-18",0,"Neutrality",9.24166666666667,0.894761264428949,9,8,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","35b627a7940f0d55320690727cfa4c3f",9
"15","2022-07-17-17.2022-07-17-18",0,"No-coevolution",10.06,1.03675363362182,10,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","35b627a7940f0d55320690727cfa4c3f",9
"16","2022-07-17-19.2022-07-17-20",0,"Coevolution",12.8333333333333,1.34483078438141,13.5,11,14,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","747b5f05bacfa82a98ac87f58b2f1033",10
"17","2022-07-17-19.2022-07-17-20",0,"Neutrality",9.24333333333333,0.820375769119059,9,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","747b5f05bacfa82a98ac87f58b2f1033",10
"18","2022-07-17-19.2022-07-17-20",0,"No-coevolution",9.35333333333333,0.955690568643365,9,8,12,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","1","32","747b5f05bacfa82a98ac87f58b2f1033",10
"19","2022-07-17-21.2022-07-17-22",0,"Coevolution",14.0066666666667,1.20791306758957,14,12,18,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","05330eecfee3de0bcae71a7cfb957643",11
"20","2022-07-17-21.2022-07-17-22",0,"Neutrality",9.44416666666667,0.701635862080909,9,8,11,"ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","4.14e-08","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","3e-05","10000","4","32","05330eecfee3de0bcae71a7cfb957643",11
