"run_id_same_config_different_mode";"locus_id";"derived_sim_mode";"allele_count_mean";"allele_count_sd";"allele_count_median";"hosts.mutation_rate_per_peptide";"infection.merit_threshold";"pathogens.mutation_rate_per_peptide";"pathogens.species_n";"pathogens.introgression_individuals_per_generation";"hash_no_sim_mode";"id_same_config_different_mode"
"2022-07-14-1.2022-07-14-2";0;"coevolution";11,1683333333333;2,58349659311432;11;"5e-06";"4";"5e-06";"1";"0";"c11ca53ab5896df34700bf96cfb37667";1
"2022-07-14-1.2022-07-14-2";0;"neutrality";21,8466666666667;3,46816652398458;22;"5e-06";"4";"5e-06";"1";"0";"c11ca53ab5896df34700bf96cfb37667";1
"2022-07-14-1.2022-07-14-2";0;"no-coevolution";11,83;3,64049291274495;12;"5e-06";"4";"5e-06";"1";"0";"c11ca53ab5896df34700bf96cfb37667";1
"2022-07-14-11.2022-07-14-12";0;"coevolution";23,0466666666667;3,02761175578957;23;"5e-06";"5";"5e-06";"4";"0";"f7052a7b3a5f8564b844f1776d096941";6
"2022-07-14-11.2022-07-14-12";0;"neutrality";21,6625;3,55843773997678;22;"5e-06";"5";"5e-06";"4";"0";"f7052a7b3a5f8564b844f1776d096941";6
"2022-07-14-11.2022-07-14-12";0;"no-coevolution";17,4416666666667;2,63847173771866;17;"5e-06";"5";"5e-06";"4";"0";"f7052a7b3a5f8564b844f1776d096941";6
"2022-07-14-13.2022-07-14-14";0;"coevolution";10,5683333333333;2,07666032024941;11;"5e-06";"4";"1e-06";"4";"0";"af706e1046c163ba9fe50b9b0a3c0d17";7
"2022-07-14-13.2022-07-14-14";0;"neutrality";20,3483333333333;3,60339899157253;20;"5e-06";"4";"1e-06";"4";"0";"af706e1046c163ba9fe50b9b0a3c0d17";7
"2022-07-14-13.2022-07-14-14";0;"no-coevolution";7,95166666666667;2,40255787918354;8;"5e-06";"4";"1e-06";"4";"0";"af706e1046c163ba9fe50b9b0a3c0d17";7
"2022-07-14-15.2022-07-14-16";0;"coevolution";14,38;2,96652441619028;14;"5e-06";"4";"1e-05";"4";"0";"d5dfea0d3c5adc70c321d27a3820fb8d";8
"2022-07-14-15.2022-07-14-16";0;"neutrality";21,825;3,27413728776747;22;"5e-06";"4";"1e-05";"4";"0";"d5dfea0d3c5adc70c321d27a3820fb8d";8
"2022-07-14-15.2022-07-14-16";0;"no-coevolution";9,07166666666667;2,19952883607454;9;"5e-06";"4";"1e-05";"4";"0";"d5dfea0d3c5adc70c321d27a3820fb8d";8
"2022-07-14-17.2022-07-14-18";0;"coevolution";32,9666666666667;7,51840627685118;32;"5e-05";"4";"5e-05";"1";"0";"fb0946a8269843a171fd018e51fd3dc1";9
"2022-07-14-17.2022-07-14-18";0;"neutrality";123,703333333333;10,7296906186929;124;"5e-05";"4";"5e-05";"1";"0";"fb0946a8269843a171fd018e51fd3dc1";9
"2022-07-14-17.2022-07-14-18";0;"no-coevolution";64,815;8,95326998395983;65;"5e-05";"4";"5e-05";"1";"0";"fb0946a8269843a171fd018e51fd3dc1";9
