"","hosts.mutation_rate_per_peptide","infection.merit_threshold","pathogens.mutation_rate_per_peptide","pathogens.species_n","simulation_mode","run_id","pathogens.introgression_individuals_per_generation","hash_no_sim_mode","run_id_same_config_different_mode"
"1","5e-06","4","5e-06","1","default","2022-07-14-1","0","c11ca53ab5896df34700bf96cfb37667","2022-07-14-1.2022-07-14-2"
"2","5e-06","4","5e-06","1","no_coevolution","2022-07-14-2","0","c11ca53ab5896df34700bf96cfb37667","2022-07-14-1.2022-07-14-2"
"3","5e-06","5","5e-06","1","default","2022-07-14-3","0","c24a6a5aa2166d6ab6b478842e9dab8c","2022-07-14-3.2022-07-14-4"
"4","5e-06","5","5e-06","1","no_coevolution","2022-07-14-4","0","c24a6a5aa2166d6ab6b478842e9dab8c","2022-07-14-3.2022-07-14-4"
"5","5e-06","4","1e-06","1","default","2022-07-14-5","0","d4ee0f0990c7c23115832400246004ef","2022-07-14-5.2022-07-14-6"
"6","5e-06","4","1e-06","1","no_coevolution","2022-07-14-6","0","d4ee0f0990c7c23115832400246004ef","2022-07-14-5.2022-07-14-6"
"7","5e-06","4","1e-05","1","default","2022-07-14-7","0","5306dd6c55002a33685e3febf4c1effa","2022-07-14-7.2022-07-14-8"
"8","5e-06","4","1e-05","1","no_coevolution","2022-07-14-8","0","5306dd6c55002a33685e3febf4c1effa","2022-07-14-7.2022-07-14-8"
"9","5e-06","4","5e-06","4","default","2022-07-14-9","0","88e92d5839398af51b9b7f533734cabf","2022-07-14-9.2022-07-14-10"
"10","5e-06","4","5e-06","4","no_coevolution","2022-07-14-10","0","88e92d5839398af51b9b7f533734cabf","2022-07-14-9.2022-07-14-10"
"11","5e-06","5","5e-06","4","default","2022-07-14-11","0","f7052a7b3a5f8564b844f1776d096941","2022-07-14-11.2022-07-14-12"
"12","5e-06","5","5e-06","4","no_coevolution","2022-07-14-12","0","f7052a7b3a5f8564b844f1776d096941","2022-07-14-11.2022-07-14-12"
"13","5e-06","4","1e-06","4","default","2022-07-14-13","0","af706e1046c163ba9fe50b9b0a3c0d17","2022-07-14-13.2022-07-14-14"
"14","5e-06","4","1e-06","4","no_coevolution","2022-07-14-14","0","af706e1046c163ba9fe50b9b0a3c0d17","2022-07-14-13.2022-07-14-14"
"15","5e-06","4","1e-05","4","default","2022-07-14-15","0","d5dfea0d3c5adc70c321d27a3820fb8d","2022-07-14-15.2022-07-14-16"
"16","5e-06","4","1e-05","4","no_coevolution","2022-07-14-16","0","d5dfea0d3c5adc70c321d27a3820fb8d","2022-07-14-15.2022-07-14-16"
"17","5e-05","4","5e-05","1","default","2022-07-14-17","0","fb0946a8269843a171fd018e51fd3dc1","2022-07-14-17.2022-07-14-18"
"18","5e-05","4","5e-05","1","no_coevolution","2022-07-14-18","0","fb0946a8269843a171fd018e51fd3dc1","2022-07-14-17.2022-07-14-18"
"19","5e-05","5","5e-05","1","default","2022-07-14-19","0","89432a50c9e35b94abb2742ec280cec3","2022-07-14-19.2022-07-14-20"
"20","5e-05","5","5e-05","1","no_coevolution","2022-07-14-20","0","89432a50c9e35b94abb2742ec280cec3","2022-07-14-19.2022-07-14-20"
"21","5e-05","4","1e-05","1","default","2022-07-14-21","0","7fc39502881a4e3d2df0969a627b131f","2022-07-14-21.2022-07-14-22"
"22","5e-05","4","1e-05","1","no_coevolution","2022-07-14-22","0","7fc39502881a4e3d2df0969a627b131f","2022-07-14-21.2022-07-14-22"
"23","5e-05","4","1e-04","1","default","2022-07-14-23","0","c521d3808942eeaf67347c04e757d3c0","2022-07-14-23.2022-07-14-24"
"24","5e-05","4","1e-04","1","no_coevolution","2022-07-14-24","0","c521d3808942eeaf67347c04e757d3c0","2022-07-14-23.2022-07-14-24"
"25","5e-05","4","5e-05","4","default","2022-07-14-25","0","e3564de86c017289b04a6e1dc04d7ef3","2022-07-14-25.2022-07-14-26"
"26","5e-05","4","5e-05","4","no_coevolution","2022-07-14-26","0","e3564de86c017289b04a6e1dc04d7ef3","2022-07-14-25.2022-07-14-26"
"27","5e-05","5","5e-05","4","default","2022-07-14-27","0","f39361587ab62577d8405299960d6515","2022-07-14-27.2022-07-14-28"
"28","5e-05","5","5e-05","4","no_coevolution","2022-07-14-28","0","f39361587ab62577d8405299960d6515","2022-07-14-27.2022-07-14-28"
"29","5e-05","4","1e-05","4","default","2022-07-14-29","0","1d82862e5bd71b958afe8fa9bc9e023e","2022-07-14-29.2022-07-14-30"
