"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hosts.introgression_individuals_per_generation","pathogens.introgression_individuals_per_generation","hash_no_sim_mode","run_id_same_config_different_mode"
"1","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","default","32","2022-07-14-1","0","0","c11ca53ab5896df34700bf96cfb37667","2022-07-14-1.2022-07-14-2"
"2","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","no_coevolution","32","2022-07-14-2","0","0","c11ca53ab5896df34700bf96cfb37667","2022-07-14-1.2022-07-14-2"
"3","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","default","32","2022-07-14-3","0","0","c24a6a5aa2166d6ab6b478842e9dab8c","2022-07-14-3.2022-07-14-4"
"4","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","1","no_coevolution","32","2022-07-14-4","0","0","c24a6a5aa2166d6ab6b478842e9dab8c","2022-07-14-3.2022-07-14-4"
"5","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","1","default","32","2022-07-14-5","0","0","d4ee0f0990c7c23115832400246004ef","2022-07-14-5.2022-07-14-6"
"6","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","1","no_coevolution","32","2022-07-14-6","0","0","d4ee0f0990c7c23115832400246004ef","2022-07-14-5.2022-07-14-6"
"7","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","default","32","2022-07-14-7","0","0","5306dd6c55002a33685e3febf4c1effa","2022-07-14-7.2022-07-14-8"
"8","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-05","10000","1","no_coevolution","32","2022-07-14-8","0","0","5306dd6c55002a33685e3febf4c1effa","2022-07-14-7.2022-07-14-8"
"9","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","default","32","2022-07-14-9","0","0","88e92d5839398af51b9b7f533734cabf","2022-07-14-9.2022-07-14-10"
"10","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","no_coevolution","32","2022-07-14-10","0","0","88e92d5839398af51b9b7f533734cabf","2022-07-14-9.2022-07-14-10"
"11","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","default","32","2022-07-14-11","0","0","f7052a7b3a5f8564b844f1776d096941","2022-07-14-11.2022-07-14-12"
"12","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","5","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","5e-06","10000","4","no_coevolution","32","2022-07-14-12","0","0","f7052a7b3a5f8564b844f1776d096941","2022-07-14-11.2022-07-14-12"
"13","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","5e-06","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","1e-06","10000","4","default","32","2022-07-14-13","0","0","af706e1046c163ba9fe50b9b0a3c0d17","2022-07-14-13.2022-07-14-14"
