"run_id_same_config_different_mode";"locus_id";"derived_sim_mode";"allele_count_mean";"allele_count_sd";"allele_count_median";"hosts.mutation_rate_per_peptide";"pathogens.introgression_individuals_per_generation";"pathogens.mutation_rate_per_peptide";"pathogens.species_n";"hash_no_sim_mode";"id_same_config_different_mode"
"2022-07-15-1.2022-07-15-2";0;"coevolution";215,44;6,83478288573665;216;"3e-05";"500";"0.003";"1";"a04045d0854ab2cae12b9f81941da2a9";1
"2022-07-15-1.2022-07-15-2";0;"neutrality";79,1566666666667;6,30491201248094;79;"3e-05";"500";"0.003";"1";"a04045d0854ab2cae12b9f81941da2a9";1
"2022-07-15-1.2022-07-15-2";0;"no-coevolution";90,1883333333333;5,81887412211078;90;"3e-05";"500";"0.003";"1";"a04045d0854ab2cae12b9f81941da2a9";1
"2022-07-15-11.2022-07-15-12";0;"coevolution";174,758333333333;4,98912980882482;175;"1e-05";"500";"0.003";"4";"e6a67e2ff883f195aad811a2019f148f";6
"2022-07-15-11.2022-07-15-12";0;"neutrality";33,3766666666667;5,15091242446999;33,5;"1e-05";"500";"0.003";"4";"e6a67e2ff883f195aad811a2019f148f";6
"2022-07-15-11.2022-07-15-12";0;"no-coevolution";56,3266666666667;4,51448666760784;57;"1e-05";"500";"0.003";"4";"e6a67e2ff883f195aad811a2019f148f";6
"2022-07-15-13.2022-07-15-14";0;"coevolution";152,276666666667;5,24079180278029;152;"1e-05";"500";"0.001";"1";"e4dd0cb49af8fac3af5c754c7ac2102e";7
"2022-07-15-13.2022-07-15-14";0;"neutrality";34,6291666666667;5,99513141135553;35;"1e-05";"500";"0.001";"1";"e4dd0cb49af8fac3af5c754c7ac2102e";7
"2022-07-15-13.2022-07-15-14";0;"no-coevolution";44,1466666666667;4,42845053931819;44;"1e-05";"500";"0.001";"1";"e4dd0cb49af8fac3af5c754c7ac2102e";7
"2022-07-15-15.2022-07-15-16";0;"coevolution";189,793333333333;8,78384209930929;191;"1e-05";"500";"0.001";"4";"b03e74c0b68f24f8317379a48b06a3e9";8
"2022-07-15-15.2022-07-15-16";0;"neutrality";30,7091666666667;4,16982079672331;31;"1e-05";"500";"0.001";"4";"b03e74c0b68f24f8317379a48b06a3e9";8
"2022-07-15-15.2022-07-15-16";0;"no-coevolution";54,0016666666667;4,12836564438177;53;"1e-05";"500";"0.001";"4";"b03e74c0b68f24f8317379a48b06a3e9";8
"2022-07-15-17.2022-07-15-18";0;"coevolution";193,39;6,10929120807877;193;"3e-05";"0";"0.003";"1";"47fc2e58ab86b38ba730643eaba319b8";9
"2022-07-15-17.2022-07-15-18";0;"neutrality";80,6833333333333;7,15628389749691;81;"3e-05";"0";"0.003";"1";"47fc2e58ab86b38ba730643eaba319b8";9
"2022-07-15-17.2022-07-15-18";0;"no-coevolution";59,5116666666667;6,2552706768738;60;"3e-05";"0";"0.003";"1";"47fc2e58ab86b38ba730643eaba319b8";9
"2022-07-15-19.2022-07-15-20";0;"coevolution";330,876666666667;7,87240413090071;331;"3e-05";"0";"0.003";"4";"bf8f15d7402ce15762a3f62affa0af7e";10
"2022-07-15-19.2022-07-15-20";0;"neutrality";79,7516666666667;6,04293759699893;80;"3e-05";"0";"0.003";"4";"bf8f15d7402ce15762a3f62affa0af7e";10
"2022-07-15-19.2022-07-15-20";0;"no-coevolution";89,225;7,21696029223982;89,5;"3e-05";"0";"0.003";"4";"bf8f15d7402ce15762a3f62affa0af7e";10
"2022-07-15-21.2022-07-15-22";0;"coevolution";123,155;5,85475065013807;122;"3e-05";"0";"0.001";"1";"c07b8907f7b4bd4231ed13cbd2d88724";11
"2022-07-15-21.2022-07-15-22";0;"neutrality";79,8983333333333;7,23428939205934;80;"3e-05";"0";"0.001";"1";"c07b8907f7b4bd4231ed13cbd2d88724";11
"2022-07-15-21.2022-07-15-22";0;"no-coevolution";46,9383333333333;6,42573061309573;47;"3e-05";"0";"0.001";"1";"c07b8907f7b4bd4231ed13cbd2d88724";11
"2022-07-15-23.2022-07-15-24";0;"coevolution";239,465;9,91123079271073;240;"3e-05";"0";"0.001";"4";"5989b4decbdc1adffb6404ba60b37446";12
"2022-07-15-23.2022-07-15-24";0;"neutrality";78,0491666666667;7,62333120237296;78;"3e-05";"0";"0.001";"4";"5989b4decbdc1adffb6404ba60b37446";12
