"","hosts.mutation_rate_per_peptide","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.species_n","simulation_mode","run_id","hash_no_sim_mode","run_id_same_config_different_mode"
"1","3e-05","500","0.003","1","default","2022-07-15-1","a04045d0854ab2cae12b9f81941da2a9","2022-07-15-1.2022-07-15-2"
"2","3e-05","500","0.003","1","no_coevolution","2022-07-15-2","a04045d0854ab2cae12b9f81941da2a9","2022-07-15-1.2022-07-15-2"
"3","3e-05","500","0.003","4","default","2022-07-15-3","8e8b7ec71b643f0c028471fbaa235b12","2022-07-15-3.2022-07-15-4"
"4","3e-05","500","0.003","4","no_coevolution","2022-07-15-4","8e8b7ec71b643f0c028471fbaa235b12","2022-07-15-3.2022-07-15-4"
"5","3e-05","500","0.001","1","default","2022-07-15-5","c61bc297298baeae7b7d621c725c87b7","2022-07-15-5.2022-07-15-6"
"6","3e-05","500","0.001","1","no_coevolution","2022-07-15-6","c61bc297298baeae7b7d621c725c87b7","2022-07-15-5.2022-07-15-6"
"7","3e-05","500","0.001","4","default","2022-07-15-7","8ce5f49f36521176b6f80186071cd564","2022-07-15-7.2022-07-15-8"
"8","3e-05","500","0.001","4","no_coevolution","2022-07-15-8","8ce5f49f36521176b6f80186071cd564","2022-07-15-7.2022-07-15-8"
"9","1e-05","500","0.003","1","default","2022-07-15-9","b4e7e082b2f95f2c05c04b79fc21dc6c","2022-07-15-9.2022-07-15-10"
"10","1e-05","500","0.003","1","no_coevolution","2022-07-15-10","b4e7e082b2f95f2c05c04b79fc21dc6c","2022-07-15-9.2022-07-15-10"
"11","1e-05","500","0.003","4","default","2022-07-15-11","e6a67e2ff883f195aad811a2019f148f","2022-07-15-11.2022-07-15-12"
"12","1e-05","500","0.003","4","no_coevolution","2022-07-15-12","e6a67e2ff883f195aad811a2019f148f","2022-07-15-11.2022-07-15-12"
"13","1e-05","500","0.001","1","default","2022-07-15-13","e4dd0cb49af8fac3af5c754c7ac2102e","2022-07-15-13.2022-07-15-14"
"14","1e-05","500","0.001","1","no_coevolution","2022-07-15-14","e4dd0cb49af8fac3af5c754c7ac2102e","2022-07-15-13.2022-07-15-14"
"15","1e-05","500","0.001","4","default","2022-07-15-15","b03e74c0b68f24f8317379a48b06a3e9","2022-07-15-15.2022-07-15-16"
"16","1e-05","500","0.001","4","no_coevolution","2022-07-15-16","b03e74c0b68f24f8317379a48b06a3e9","2022-07-15-15.2022-07-15-16"
"17","3e-05","0","0.003","1","default","2022-07-15-17","47fc2e58ab86b38ba730643eaba319b8","2022-07-15-17.2022-07-15-18"
"18","3e-05","0","0.003","1","no_coevolution","2022-07-15-18","47fc2e58ab86b38ba730643eaba319b8","2022-07-15-17.2022-07-15-18"
"19","3e-05","0","0.003","4","default","2022-07-15-19","bf8f15d7402ce15762a3f62affa0af7e","2022-07-15-19.2022-07-15-20"
"20","3e-05","0","0.003","4","no_coevolution","2022-07-15-20","bf8f15d7402ce15762a3f62affa0af7e","2022-07-15-19.2022-07-15-20"
"21","3e-05","0","0.001","1","default","2022-07-15-21","c07b8907f7b4bd4231ed13cbd2d88724","2022-07-15-21.2022-07-15-22"
"22","3e-05","0","0.001","1","no_coevolution","2022-07-15-22","c07b8907f7b4bd4231ed13cbd2d88724","2022-07-15-21.2022-07-15-22"
"23","3e-05","0","0.001","4","default","2022-07-15-23","5989b4decbdc1adffb6404ba60b37446","2022-07-15-23.2022-07-15-24"
"24","3e-05","0","0.001","4","no_coevolution","2022-07-15-24","5989b4decbdc1adffb6404ba60b37446","2022-07-15-23.2022-07-15-24"
"25","1e-05","0","0.003","1","default","2022-07-15-25","951d41eec6255f5b7cc5cacb8b1e0111","2022-07-15-25.2022-07-15-26"
"26","1e-05","0","0.003","1","no_coevolution","2022-07-15-26","951d41eec6255f5b7cc5cacb8b1e0111","2022-07-15-25.2022-07-15-26"
"27","1e-05","0","0.003","4","default","2022-07-15-27","a94f132cdf033cf7a311a271b3340456","2022-07-15-27.2022-07-15-28"
"28","1e-05","0","0.003","4","no_coevolution","2022-07-15-28","a94f132cdf033cf7a311a271b3340456","2022-07-15-27.2022-07-15-28"
"29","1e-05","0","0.001","1","default","2022-07-15-29","a819cce561ea5f2aa211904f00937de9","2022-07-15-29.2022-07-15-30"
"30","1e-05","0","0.001","1","no_coevolution","2022-07-15-30","a819cce561ea5f2aa211904f00937de9","2022-07-15-29.2022-07-15-30"
"31","1e-05","0","0.001","4","default","2022-07-15-31","9006e1c3ac8149214f1d3a92dcd9d959","2022-07-15-31.2022-07-15-32"
"32","1e-05","0","0.001","4","no_coevolution","2022-07-15-32","9006e1c3ac8149214f1d3a92dcd9d959","2022-07-15-31.2022-07-15-32"
