"","aminoacids","burnin_generations","generations","hosts.allele_sequence_length","hosts.alleles_per_species_initial","hosts.fitness_minimum","hosts.genes_per_chromosome_initial","hosts.introgression_individuals_per_generation","hosts.mutation_rate_per_peptide","hosts.n","hosts.species_n","infection.infections_per_generation","infection.merit_threshold","output.host_allele_data_interval","output.host_allele_sequence_data_interval","output.host_individual_data_interval","output.host_locus_data_interval","output.meta_data_interval","output.output_base_path","output.pathogen_allele_data_interval","output.pathogen_allele_sequence_data_interval","output.pathogen_individual_data_interval","output.pathogen_locus_data_interval","pathogens.fitness_minimum","pathogens.haplotype_sequence_length","pathogens.haplotypes_per_species_initial","pathogens.introgression_individuals_per_generation","pathogens.mutation_rate_per_peptide","pathogens.n","pathogens.species_n","simulation_mode","thread_n","run_id","hash_no_sim_mode","run_id_same_config_different_mode"
"1","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","1","default","32","2022-07-15-1","a04045d0854ab2cae12b9f81941da2a9","2022-07-15-1.2022-07-15-2"
"2","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","1","no_coevolution","32","2022-07-15-2","a04045d0854ab2cae12b9f81941da2a9","2022-07-15-1.2022-07-15-2"
"3","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","4","default","32","2022-07-15-3","8e8b7ec71b643f0c028471fbaa235b12","2022-07-15-3.2022-07-15-4"
"4","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","4","no_coevolution","32","2022-07-15-4","8e8b7ec71b643f0c028471fbaa235b12","2022-07-15-3.2022-07-15-4"
"5","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","1","default","32","2022-07-15-5","c61bc297298baeae7b7d621c725c87b7","2022-07-15-5.2022-07-15-6"
"6","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","1","no_coevolution","32","2022-07-15-6","c61bc297298baeae7b7d621c725c87b7","2022-07-15-5.2022-07-15-6"
"7","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","4","default","32","2022-07-15-7","8ce5f49f36521176b6f80186071cd564","2022-07-15-7.2022-07-15-8"
"8","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","4","no_coevolution","32","2022-07-15-8","8ce5f49f36521176b6f80186071cd564","2022-07-15-7.2022-07-15-8"
"9","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","1","default","32","2022-07-15-9","b4e7e082b2f95f2c05c04b79fc21dc6c","2022-07-15-9.2022-07-15-10"
"10","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","1","no_coevolution","32","2022-07-15-10","b4e7e082b2f95f2c05c04b79fc21dc6c","2022-07-15-9.2022-07-15-10"
"11","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","4","default","32","2022-07-15-11","e6a67e2ff883f195aad811a2019f148f","2022-07-15-11.2022-07-15-12"
"12","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.003","10000","4","no_coevolution","32","2022-07-15-12","e6a67e2ff883f195aad811a2019f148f","2022-07-15-11.2022-07-15-12"
"13","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","1","default","32","2022-07-15-13","e4dd0cb49af8fac3af5c754c7ac2102e","2022-07-15-13.2022-07-15-14"
"14","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","1","no_coevolution","32","2022-07-15-14","e4dd0cb49af8fac3af5c754c7ac2102e","2022-07-15-13.2022-07-15-14"
"15","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","4","default","32","2022-07-15-15","b03e74c0b68f24f8317379a48b06a3e9","2022-07-15-15.2022-07-15-16"
"16","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","1e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","500","0.001","10000","4","no_coevolution","32","2022-07-15-16","b03e74c0b68f24f8317379a48b06a3e9","2022-07-15-15.2022-07-15-16"
"17","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","1","default","32","2022-07-15-17","47fc2e58ab86b38ba730643eaba319b8","2022-07-15-17.2022-07-15-18"
"18","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","1","no_coevolution","32","2022-07-15-18","47fc2e58ab86b38ba730643eaba319b8","2022-07-15-17.2022-07-15-18"
"19","ARNDCQGEHILKMFPSTWYV","1500","1000","9","10","0.01","1","0","3e-05","10000","1","10","4","1","-1","50","1","1","./output/","500","-1","500","50","0.1","2000","1","0","0.003","10000","4","default","32","2022-07-15-19","bf8f15d7402ce15762a3f62affa0af7e","2022-07-15-19.2022-07-15-20"
